"Name","Gross Export","Share"
"Afghanistan","16105","0.00003099743457994511"
"Angola","38455574","0.07401578014897475"
"Albania","379398","0.0007302306541298986"
"Andorra","146181","0.0002813558512468772"
"United Arab Emirates","2818605270","5.424994254176562"
"Argentina","58006427","0.1116454781837232"
"Armenia","32262","0.00006209495401541069"
"Antigua and Barbuda","1008","0.0000019401064300890826"
"Australia","106925992","0.20580139347505338"
"Austria","31534401","0.0606945378463369"
"Azerbaijan","252089","0.0004851979066019115"
"Burundi","44166800","0.08500822686156596"
"Belgium","740389699","1.4250345394857347"
"Benin","40262657","0.07749388862913811"
"Burkina Faso","39687599","0.07638706945902485"
"Bangladesh","19655498","0.03783110918293959"
"Bulgaria","42933753","0.08263497049916313"
"Bahrain","45828023","0.08820559732199441"
"The Bahamas","63311","0.00012185523630493046"
"Bosnia and Herzegovina","100979","0.00019435516587694985"
"Belarus","4275574","0.008229234731866765"
"Belize","902","0.0000017360873015281274"
"Bermuda","8412","0.000016190650089195795"
"Bolivia","1358739","0.0026151768558658832"
"Brazil","307796313","0.5924182599295753"
"Barbados","65138","0.00012537167920946692"
"Brunei","118685","0.00022843405918166943"
"Botswana","341425214","0.657144100273751"
"Central African Republic","367119","0.000706597155265748"
"Canada","432225375","0.8319079655606796"
"Switzerland","1188470725","2.2874600154217597"
"Chile","9127671","0.017568108332180206"
"China","15633076541","30.08911936435406"
"Côte d'Ivoire","45874326","0.08829471711170911"
"Cameroon","19176927","0.036909999386953316"
"Democratic Republic of the Congo","515484655","0.9921578311287226"
"Republic of the Congo","9003881","0.01732984863477869"
"Colombia","20387177","0.03923937816375422"
"Comoros","1158312","0.002229413253223557"
"Cabo Verde","171356","0.00032981039428010405"
"Costa Rica","2054814","0.003954918505989155"
"Cuba","227400","0.00043767877202604904"
"Curaçao","102950","0.00019814876684292763"
"Cayman Islands","33760","0.0000649781677379042"
"Cyprus","11996613","0.023089986131537975"
"Czechia","68134553","0.1311391710183982"
"Germany","901011317","1.7341843746971557"
"Djibouti","2959892","0.0056969300610805905"
"Dominica","2823","0.000005433452829505437"
"Denmark","10743582","0.020678266389275123"
"Dominican Republic","19532766","0.03759488582740616"
"Algeria","142954263","0.275145322276732"
"Ecuador","1868625","0.003596558906671837"
"Egypt","387214559","0.7452752537103259"
"Eritrea","2801906","0.005392853022921806"
"Spain","1477234206","2.8432456168731552"
"Estonia","2283029","0.004394165915654611"
"Ethiopia","19883997","0.03827090320989288"
"Finland","31619734","0.060858779018954756"
"Fiji","165964","0.0003194323646461354"
"France","609392413","1.1729029155841288"
"Gabon","10941936","0.02106004007065795"
"United Kingdom","400742011","0.7713116590753273"
"Georgia","1310223","0.002521797685665286"
"Ghana","86212874","0.16593467381335306"
"Guinea","51235858","0.09861410471917774"
"The Gambia","30724970","0.059136618910014045"
